epoch,steps,loss,accuracy,auc,fpr,tpr,thresholds
0,128,1.1711,0.9990,0.2928,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0, 1.0, 1.0]","[0.0, 4.966969651815427e-05, 0.0006953757512541598, 0.0006953757512541598, 0.005910693885660358, 0.005910693885660358, 0.009288233248894849, 0.009288233248894849, 0.017881090746535537, 0.017881090746535537, 0.04197089355784036, 0.04197089355784036, 0.04604380867232901, 0.04604380867232901, 0.11890925346446134, 0.11900859285749764, 0.13008493518104605, 0.13008493518104605, 0.13371082302687132, 0.13371082302687132, 0.17940694382357325, 0.17940694382357325, 0.18983758009238563, 0.18993691948542193, 0.19947350121690757, 0.19947350121690757, 0.2184473252868425, 0.2184473252868425, 0.23498733422738788, 0.23508667362042418, 0.2938459246014007, 0.293945263994437, 0.29419361247702774, 0.2942929518700641, 0.3407341181145383, 0.34083345750757466, 0.3735657875130383, 0.3736651269060746, 0.38623156012516763, 0.38623156012516763, 0.43222569910097847, 0.4323250384940148, 0.43833507177271147, 0.43833507177271147, 0.44841802016589677, 0.44841802016589677, 0.46997466845477576, 0.47007400784781206, 0.4851239258928128, 0.4852232652858491, 0.5335518799980132, 0.5336512193910495, 0.5680723190781304, 0.5681716584711668, 0.5729399493369095, 0.5730392887299458, 0.6048775641980827, 0.6048775641980827, 0.617195648934585, 0.617195648934585, 0.6254904882531168, 0.6254904882531168, 0.6356727760393384, 0.6357721154323747, 0.6387522972234639, 0.6388516366165002, 0.6588188546167983, 0.6588188546167983, 0.7203099389062733, 0.7204092782993096, 0.7213033328366364, 0.7214026722296727, 0.7915362837133065, 0.7916356231063428, 0.8009735260517559, 0.8009735260517559, 0.8683753042268911, 0.8684746436199274, 1.0]","[0.5250704288482666, -0.474929541349411, -0.5790346264839172, -0.5792457461357117, -0.717406690120697, -0.7175941467285156, -0.7665824890136719, -0.7670436501502991, -0.8412015438079834, -0.841417670249939, -0.9440281987190247, -0.9440483450889587, -0.9550633430480957, -0.9551481008529663, -1.0698585510253906, -1.0699775218963623, -1.0826668739318848, -1.0826818943023682, -1.086855173110962, -1.086927056312561, -1.1317030191421509, -1.13174307346344, -1.1401444673538208, -1.1401573419570923, -1.1480833292007446, -1.1480895280838013, -1.1650017499923706, -1.1650787591934204, -1.1790571212768555, -1.1790574789047241, -1.2272453308105469, -1.2272472381591797, -1.2275607585906982, -1.2275773286819458, -1.26497220993042, -1.2649762630462646, -1.2921515703201294, -1.292153000831604, -1.3023637533187866, -1.302375316619873, -1.3401743173599243, -1.3402881622314453, -1.3456180095672607, -1.345626711845398, -1.3546273708343506, -1.3546875715255737, -1.3734326362609863, -1.3734874725341797, -1.387134313583374, -1.3871726989746094, -1.4356461763381958, -1.4357830286026, -1.470576524734497, -1.4706097841262817, -1.4754842519760132, -1.4755103588104248, -1.5074992179870605, -1.5075411796569824, -1.5204321146011353, -1.5204641819000244, -1.5299186706542969, -1.5299568176269531, -1.5421700477600098, -1.5421782732009888, -1.546289086341858, -1.5463104248046875, -1.5693824291229248, -1.5694149732589722, -1.6454157829284668, -1.6454553604125977, -1.6469957828521729, -1.6471093893051147, -1.754832148551941, -1.7549806833267212, -1.7703399658203125, -1.7703912258148193, -1.9151051044464111, -1.9156194925308228, -3.7900478839874268]"
1,128,0.0013,0.9990,0.4460,"[0.0, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[0.0, 0.46932896240003974, 0.49605125912680675, 0.49615059851984306, 0.5037997317836388, 0.5038990711766751, 0.5837182734813491, 0.5837182734813491, 0.6067153429692544, 0.6067153429692544, 0.6329906124273581, 0.6329906124273581, 0.6605076242984156, 0.6605076242984156, 0.7648139869865395, 0.7648139869865395, 0.845129886256395, 0.845129886256395, 0.8717031738936075, 0.8717031738936075, 0.9270848855113495, 0.9270848855113495, 1.0]","[1.0, -0.0, -0.003835091833025217, -0.0038523077964782715, -0.004893787205219269, -0.004894862417131662, -0.016619810834527016, -0.016621645539999008, -0.020491430535912514, -0.020502040162682533, -0.024644963443279266, -0.024645505473017693, -0.029299387708306313, -0.029300138354301453, -0.04982086271047592, -0.049822766333818436, -0.07091325521469116, -0.07092761248350143, -0.07992777973413467, -0.07993209362030029, -0.10244879126548767, -0.10245159268379211, -0.3930457532405853]"
2,128,0.0021,0.9990,0.5306,"[0.0, 0.0, 0.0, 0.2631578947368421, 0.2631578947368421, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[0.0, 4.966969651815427e-05, 0.0034272090597526447, 0.3868275964833855, 0.38707594496597625, 0.38717528435901255, 0.3956191327670988, 0.3956191327670988, 0.41146376595639, 0.41146376595639, 0.4667461381810957, 0.4667461381810957, 0.4709183926886207, 0.4709183926886207, 0.5049421348035563, 0.5049421348035563, 0.5111011771718075, 0.5111011771718075, 0.6263348730939254, 0.6263348730939254, 0.6815675756221129, 0.6815675756221129, 0.7192172055828739, 0.7192172055828739, 0.7216013510157453, 0.7216013510157453, 0.8026622957333731, 0.8027616351264094, 0.8210897531416083, 0.8211890925346446, 0.8669845527243829, 0.8669845527243829, 0.881835791983311, 0.881835791983311, 0.9155615159191377, 0.9155615159191377, 0.9324988824318283, 0.9324988824318283, 1.0]","[0.9999566078186035, -4.342198371887207e-05, -0.004300891887396574, -0.004402965772897005, -0.004403174389153719, -0.004403198603540659, -0.0047173816710710526, -0.0047185225412249565, -0.006157665979117155, -0.0061578224413096905, -0.013703643344342709, -0.013706803321838379, -0.014435592107474804, -0.014448605477809906, -0.02011084370315075, -0.020112551748752594, -0.021080028265714645, -0.021091612055897713, -0.04070936143398285, -0.040715254843235016, -0.0511140376329422, -0.051140911877155304, -0.05921986326575279, -0.05922674015164375, -0.05969759821891785, -0.05970337241888046, -0.07904328405857086, -0.07911086082458496, -0.08403564244508743, -0.08404145389795303, -0.09880460798740387, -0.09884104877710342, -0.10448558628559113, -0.10448727756738663, -0.11959225684404373, -0.11961328983306885, -0.12932685017585754, -0.1294015496969223, -0.37519919872283936]"
3,128,0.0018,0.9990,0.5275,"[0.0, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[0.0, 0.5173595589330949, 0.5210847861719565, 0.5211841255649928, 0.5546118313217107, 0.554711170714747, 0.56727760393384, 0.5673769433268763, 0.6185864004370933, 0.6185864004370933, 0.6381065911687279, 0.6382059305617642, 0.7218496994983361, 0.7218496994983361, 0.7304425569959767, 0.730541896389013, 0.7537873143595093, 0.7538866537525456, 0.7681915263497741, 0.7681915263497741, 0.7693339293696916, 0.7694332687627279, 0.7767347141508966, 0.7767347141508966, 0.7911885958376794, 0.7911885958376794, 0.8660904981870561, 0.8660904981870561, 0.9063229523667611, 0.9063229523667611, 0.9914568121988775, 0.9914568121988775, 0.995827745492475, 0.995827745492475, 1.0]","[1.0, -0.0, -0.0006022395100444555, -0.0006124319043010473, -0.006428280845284462, -0.006430143490433693, -0.008629107847809792, -0.00862991251051426, -0.017840946093201637, -0.017851511016488075, -0.021153608337044716, -0.02116241492331028, -0.0386897549033165, -0.03871180862188339, -0.041050296276807785, -0.04105312377214432, -0.046832554042339325, -0.04685591906309128, -0.05055993050336838, -0.050562381744384766, -0.050800539553165436, -0.050800733268260956, -0.05279462784528732, -0.05280902236700058, -0.0565885528922081, -0.05659324675798416, -0.08118530362844467, -0.08120046555995941, -0.10015539079904556, -0.10019680112600327, -0.22907030582427979, -0.22958262264728546, -0.27630648016929626, -0.2765522599220276, -0.5868151783943176]"
4,128,0.0028,0.9990,0.7073,"[0.0, 0.42105263157894735, 0.42105263157894735, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[0.0, 0.6964188148810411, 0.8246659712909155, 0.8247653106839518, 0.857994337654597, 0.857994337654597, 0.9274822430834948, 0.9274822430834948, 0.94268117021805, 0.94268117021805, 0.9827149456116823, 0.9827149456116823, 0.9828142850047186, 0.9828142850047186, 0.9861918243679532, 0.9861918243679532, 0.993890627328267, 0.993890627328267, 0.9966224606367655, 0.9966224606367655, 0.9984105697114191, 0.9984105697114191, 0.9988079272835643, 0.9988079272835643, 1.0]","[1.0, -0.0, -0.049001701176166534, -0.04900800436735153, -0.06835237890481949, -0.06843053549528122, -0.13003647327423096, -0.1300632208585739, -0.1537681370973587, -0.15386812388896942, -0.28412243723869324, -0.28469064831733704, -0.28515899181365967, -0.2856559157371521, -0.3199465572834015, -0.3208502233028412, -0.39338207244873047, -0.3944706916809082, -0.44564446806907654, -0.44856682419776917, -0.49992895126342773, -0.50618577003479, -0.5337690114974976, -0.5363320708274841, -0.7498779296875]"
5,128,0.0004,0.9990,0.7047,"[0.0, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[0.0, 0.9101475189986589, 0.9263398400635772, 0.9263398400635772, 0.9617543336810213, 0.9617543336810213, 0.9812248547161377, 0.9812248547161377, 0.9886753091938608, 0.9886753091938608, 0.9950330303481846, 0.9950330303481846, 0.9953807182238117, 0.9953807182238117, 0.9962747727611384, 0.9962747727611384, 0.9967218000298018, 0.9967218000298018, 0.9980132121392739, 0.9980132121392739, 1.0]","[1.0, -0.0, -0.009439784102141857, -0.009450787678360939, -0.04555218666791916, -0.045766301453113556, -0.09458230435848236, -0.0950758308172226, -0.14006170630455017, -0.1401289999485016, -0.21507568657398224, -0.2161560356616974, -0.21977652609348297, -0.2198919802904129, -0.23596307635307312, -0.23677054047584534, -0.24845676124095917, -0.24886322021484375, -0.285758376121521, -0.28587836027145386, -0.5093384981155396]"
6,128,0.0020,0.9990,0.7368,"[0.0, 0.3157894736842105, 0.3157894736842105, 0.3157894736842105, 0.3157894736842105, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[0.0, 0.5795956886703423, 0.617841354989321, 0.6179406943823573, 0.648735906223613, 0.6488352456166493, 0.6934386330899518, 0.6934386330899518, 0.8415536681070879, 0.8415536681070879, 0.9125316644315303, 0.9125316644315303, 0.9284259673173397, 0.9284259673173397, 0.9562409973675061, 0.9562409973675061, 0.9671186609049819, 0.9671186609049819, 0.9852977698306263, 0.9852977698306263, 0.9941389758108578, 0.9941389758108578, 0.994238315203894, 0.994238315203894, 0.9957780757959569, 0.9957780757959569, 0.9962747727611384, 0.9962747727611384, 0.9967218000298018, 0.9967218000298018, 0.9979635424427556, 0.9979635424427556, 1.0]","[1.0, -0.0, -0.010079361498355865, -0.010088540613651276, -0.018722087144851685, -0.018726281821727753, -0.03353991359472275, -0.033551521599292755, -0.0878329649567604, -0.08784590661525726, -0.11898327618837357, -0.11900029331445694, -0.12890774011611938, -0.12896990776062012, -0.15053263306617737, -0.15057772397994995, -0.16272187232971191, -0.1629190444946289, -0.20057399570941925, -0.20094174146652222, -0.25745028257369995, -0.2578883767127991, -0.2593896687030792, -0.2607823312282562, -0.27398669719696045, -0.27448970079421997, -0.27939578890800476, -0.2806248366832733, -0.29567286372184753, -0.2990894913673401, -0.32845935225486755, -0.32853594422340393, -0.5523184537887573]"
7,128,0.0026,0.9990,0.7258,"[0.0, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[0.0, 0.6460040729151145, 0.7207569661749367, 0.7207569661749367, 0.9340386430238912, 0.9340386430238912, 0.9661252669746188, 0.9661252669746188, 0.9750161426513684, 0.9750161426513684, 0.9796850941240749, 0.9796850941240749, 0.9869865395122436, 0.9869865395122436, 0.9921025182536135, 0.9921025182536135, 0.9924998758257587, 0.9924998758257587, 0.9932945909700491, 0.9932945909700491, 0.9934932697561218, 0.9934932697561218, 0.9966721303332836, 0.9966721303332836, 0.9982118909253465, 0.9982118909253465, 1.0]","[1.0, -0.0, -0.017827318981289864, -0.017882736399769783, -0.12227505445480347, -0.12230123579502106, -0.17993281781673431, -0.1800907999277115, -0.21655605733394623, -0.21701909601688385, -0.24195249378681183, -0.24228307604789734, -0.3115491569042206, -0.31164032220840454, -0.37339290976524353, -0.37504562735557556, -0.37998998165130615, -0.38116225600242615, -0.38972559571266174, -0.39172330498695374, -0.39262643456459045, -0.39270392060279846, -0.45430317521095276, -0.45583924651145935, -0.5069697499275208, -0.5081080794334412, -0.8975861072540283]"
8,128,0.0017,0.9990,0.7883,"[0.0, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[0.0, 0.8950976009536582, 0.9351313763472905, 0.9351313763472905, 0.9693041275517806, 0.9693041275517806, 0.9853474395271445, 0.9853474395271445, 0.9886256394973427, 0.9886256394973427, 0.9911587940197686, 0.9911587940197686, 0.9939402970247851, 0.9939402970247851, 0.9942879849004123, 0.9942879849004123, 0.9957284060994387, 0.9957284060994387, 0.9970198182089107, 0.9970198182089107, 0.9975165151740922, 0.9975165151740922, 0.9982118909253465, 0.9982118909253465, 0.9992549545522277, 0.9992549545522277, 1.0]","[1.0, -0.0, -0.041962165385484695, -0.04206179082393646, -0.16086716949939728, -0.16097721457481384, -0.2715781033039093, -0.2715953290462494, -0.30161625146865845, -0.30194127559661865, -0.33561649918556213, -0.3358737826347351, -0.385672926902771, -0.38589799404144287, -0.3928788900375366, -0.3931152820587158, -0.4176765978336334, -0.4196936786174774, -0.46087902784347534, -0.4630957543849945, -0.4756008982658386, -0.476696252822876, -0.5136858224868774, -0.5139220952987671, -0.5938704013824463, -0.5953097939491272, -0.81548672914505]"
9,128,0.0011,0.9990,0.8667,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[0.0, 4.966969651815427e-05, 0.047484229871355484, 0.04758356926439179, 0.05672279342373218, 0.05682213281676849, 0.09611086276262852, 0.09621020215566482, 0.13624397754929718, 0.13634331694233348, 0.15487011374360501, 0.15487011374360501, 0.19659265881885463, 0.19659265881885463, 0.3252868424973923, 0.32538618189042867, 0.3336313515124423, 0.6235533700889088, 0.6380569214722098, 0.6381562608652461, 0.6588685243133164, 0.6588685243133164, 0.8252620076491333, 0.8253613470421696, 0.8860577161873541, 0.8860577161873541, 0.8932598221824865, 0.8932598221824865, 0.9191377340684448, 0.9191377340684448, 0.944965976257885, 0.944965976257885, 0.9467044156360205, 0.9467044156360205, 0.9605125912680673, 0.9605125912680673, 0.9784433517111211, 0.9784433517111211, 0.9842547062037451, 0.9842547062037451, 0.9847017334724085, 0.9847017334724085, 0.9858938061888441, 0.9858938061888441, 0.9883772910147519, 0.9883772910147519, 0.9959270848855114, 0.9959270848855114, 0.9959767545820295, 0.9959767545820295, 0.9960760939750658, 0.9960760939750658, 0.9982118909253465, 0.9982118909253465, 0.9992052848557096, 0.9992052848557096, 1.0]","[0.9999938607215881, -6.154179573059082e-06, -0.0030685439705848694, -0.0030695050954818726, -0.0037604309618473053, -0.0037621259689331055, -0.006207309663295746, -0.006208412349224091, -0.008749134838581085, -0.008749857544898987, -0.009900383651256561, -0.009902635589241982, -0.012693457305431366, -0.012695860117673874, -0.021398037672042847, -0.021402016282081604, -0.022025303915143013, -0.022028623148798943, -0.02382952906191349, -0.02383139170706272, -0.026566149666905403, -0.0265697930008173, -0.05483008921146393, -0.05485103279352188, -0.07079138606786728, -0.07082489132881165, -0.07308006286621094, -0.0730850026011467, -0.08300085365772247, -0.08300463855266571, -0.09729592502117157, -0.0973111093044281, -0.0982205718755722, -0.09822642803192139, -0.1098700612783432, -0.11003221571445465, -0.13512182235717773, -0.13521622121334076, -0.14870305359363556, -0.1489364355802536, -0.14962826669216156, -0.14984285831451416, -0.15343548357486725, -0.1535186469554901, -0.16174684464931488, -0.16183681786060333, -0.20013028383255005, -0.20100201666355133, -0.2024432122707367, -0.20401868224143982, -0.20495305955410004, -0.20499782264232635, -0.23385998606681824, -0.23411884903907776, -0.2616482377052307, -0.262129545211792, -0.43414273858070374]"
